name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes,skills_covered,skill_domains,assessment_category,job_roles,seniority_levels,assessment_focus,keywords
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Simulated data entry test that measures the ability to process receivables and invoices.,S,Yes,No,8.0,"[""Accounts Receivable"", ""Invoicing""]","[""Finance"", ""Accounting""]",Technical,"[""Accounts Receivable Clerk"", ""Accountant""]","[""Junior"", ""Mid-level""]",Ability to process receivables and invoices,"[""Accounts Receivable"", ""Invoicing"", ""Finance"", ""Accounting""]"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",K,Yes,No,10.0,"[""ADO.NET"", ""Data Provider Objects""]","[""Software Development"", ""Database""]",Technical,"[""Software Developer"", ""Database Administrator""]","[""Mid-level"", ""Senior""]","Knowledge on the concepts of ADO.NET architecture, components and data provider objects","[""ADO.NET"", ""Data Provider Objects"", ""Software Development"", ""Database""]"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",K,Yes,No,17.0,"[""AEM components"", ""templates"", ""workflows"", ""AEM collections"", ""OSGi services"", ""troubleshooting of AEM projects""]","[""Digital Experience"", ""Content Management""]",Technical,"[""Digital Experience Manager"", ""Content Manager""]","[""Intermediate"", ""Senior""]",Knowledge of AEM,"[""Adobe Experience Manager"", ""AEM"", ""Digital Experience"", ""Content Management""]"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",K,Yes,Yes,20.0,"[""3D"", ""Color"", ""File Management"", ""Interface"", ""Layers"", ""Painting and Drawing"", ""Retouch and Enhancements"", ""Selection"", ""Text"", ""Web""]","[""Graphic Design"", ""Digital Imaging""]",Technical,"[""Graphic Designer"", ""Digital Imaging Specialist""]","[""Intermediate"", ""Senior""]",Knowledge of Adobe Photoshop CC,"[""Adobe Photoshop CC"", ""Graphic Design"", ""Digital Imaging""]"
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",K,Yes,No,10.0,"[""flight mechanics"", ""space dynamics"", ""aerodynamics"", ""structures"", ""propulsion""]","[""Aeronautical Engineering"", ""Aviation""]",Technical,"[""Aeronautical Engineer"", ""Aviation Engineer""]","[""Intermediate"", ""Senior""]",Knowledge of Aeronautical Engineering,"[""Aeronautical Engineering"", ""Aviation""]"
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",K,Yes,No,10.0,"[""aerodynamics"", ""aircraft systems"", ""instrumentation"", ""flight dynamics"", ""space dynamics"", ""avionics"", ""agile methodology"", ""scrum"", ""feature driven software development"", ""incremental and iterative development""]","[""Engineering"", ""Software Development"", ""Testing""]",Technical,"[""Aerospace Engineer"", ""Software Developer"", ""Quality Assurance Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Conceptual knowledge,"[""aerospace"", ""engineering"", ""agile"", ""software"", ""development"", ""testing"", ""methodology"", ""scrum"", ""incremental"", ""iterative""]"
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",K,Yes,No,7.0,"[""agile methodology"", ""scrum"", ""feature driven software development"", ""incremental and iterative development""]","[""Software Development""]",Technical,"[""Software Developer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of agile methodology,"[""agile"", ""software"", ""development"", ""methodology"", ""scrum"", ""incremental"", ""iterative""]"
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",K,Yes,No,13.0,"[""agile testing methodology"", ""tools"", ""techniques"", ""processes""]","[""Testing""]",Technical,"[""Quality Assurance Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of Agile testing methodology,"[""agile"", ""testing"", ""methodology"", ""tools"", ""techniques"", ""processes""]"
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,P,Yes,No,16.0,"[""AI"", ""Machine Learning"", ""Deep Learning"", ""Natural Language Processing"", ""Computer Vision"", ""Robotics"", ""Data Science"", ""Predictive Analytics"", ""Business Intelligence"", ""Data Mining""]","[""Artificial Intelligence"", ""Data Science"", ""Machine Learning"", ""Computer Vision"", ""Robotics""]",Technical,"[""Data Scientist"", ""Machine Learning Engineer"", ""AI Engineer"", ""Data Analyst"", ""Business Analyst""]","[""Junior"", ""Mid-level"", ""Senior""]",Measuring AI skills in the workplace,"[""AI"", ""Machine Learning"", ""Data Science"", ""Artificial Intelligence"", ""Deep Learning"", ""Natural Language Processing"", ""Computer Vision"", ""Robotics"", ""Predictive Analytics"", ""Business Intelligence""]"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",K,Yes,No,6.0,"[""AWS"", ""Cloud Computing"", ""DevOps"", ""Security"", ""Scalability"", ""Monitoring"", ""Metrics"", ""Logging"", ""Validation"", ""Delivery Process""]","[""Cloud Computing"", ""DevOps"", ""Security"", ""Scalability"", ""Monitoring""]",Technical,"[""Cloud Engineer"", ""DevOps Engineer"", ""Security Engineer"", ""Scalability Specialist"", ""Delivery Manager""]","[""Junior"", ""Mid-level"", ""Senior""]",Measuring AWS development skills,"[""AWS"", ""Cloud Computing"", ""DevOps"", ""Security"", ""Scalability"", ""Monitoring"", ""Metrics"", ""Logging"", ""Validation"", ""Delivery Process""]"
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",K,Yes,No,7.0,"[""Android"", ""UI Components"", ""Services and Alerts"", ""Animation and Media Apps"", ""Application Components"", ""Security"", ""Testing"", ""Java"", ""Kotlin"", ""Android Studio""]","[""Mobile App Development"", ""Android Development"", ""UI/UX Design"", ""Security"", ""Testing""]",Technical,"[""Android Developer"", ""Mobile App Developer"", ""UI/UX Designer"", ""Security Specialist"", ""Testing Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Measuring Android development skills,"[""Android"", ""UI Components"", ""Services and Alerts"", ""Animation and Media Apps"", ""Application Components"", ""Security"", ""Testing"", ""Java"", ""Kotlin"", ""Android Studio""]"
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",K,Yes,No,11.0,"[""Angular 6"", ""Data Binding"", ""Dependency Injection"", ""CRUD with HTTP"", ""TypeScript"", ""Routing and Navigation""]","[""Front-end Development"", ""JavaScript"", ""TypeScript""]",Technical,"[""Software Developer"", ""Front-end Developer""]","[""Junior"", ""Mid-level""]",Knowledge of Angular 6 components and modules,"[""Angular 6"", ""Multi-choice test"", ""Front-end Development""]"
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",K,Yes,No,9.0,"[""AngularJS Architecture"", ""Forms"", ""Directives"", ""Filters"", ""Controllers"", ""Routing"", ""Testing""]","[""Front-end Development"", ""JavaScript""]",Technical,"[""Software Developer"", ""Front-end Developer""]","[""Junior"", ""Mid-level""]",Knowledge of AngularJS architecture and features,"[""AngularJS"", ""Multi-choice test"", ""Front-end Development""]"
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",K,Yes,No,7.0,"[""Hadoop Concepts"", ""HDFS"", ""MapReduce"", ""Commands""]","[""Big Data"", ""Data Processing""]",Technical,"[""Data Scientist"", ""Data Engineer""]","[""Mid-level"", ""Senior""]",Knowledge of Hadoop basic concepts,"[""Hadoop"", ""Multi-choice test"", ""Big Data""]"
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",K,Yes,No,9.0,"[""Pig"", ""Hive"", ""HBase""]","[""Big Data"", ""Data Warehousing""]",Technical,"[""Data Scientist"", ""Data Engineer""]","[""Intermediate"", ""Senior""]",Conceptual knowledge,"[""Hadoop"", ""Big Data"", ""Data Warehousing""]"
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",K,Yes,No,5.0,"[""HBase concepts"", ""CAP theorem"", ""ACID properties""]","[""Big Data"", ""Database Administration""]",Technical,"[""Data Engineer"", ""Database Administrator""]","[""Intermediate"", ""Senior""]",Knowledge of HBase concepts,"[""HBase"", ""CAP theorem"", ""ACID properties""]"
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",K,Yes,No,5.0,"[""Hive architecture"", ""Hive datatypes"", ""Hive built-in functions""]","[""Big Data"", ""Data Warehousing""]",Technical,"[""Data Scientist"", ""Data Engineer""]","[""Intermediate"", ""Senior""]",Knowledge of Hive architecture,"[""Hive"", ""Big Data"", ""Data Warehousing""]"
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",K,Yes,No,6.0,"[""Apache Kafka architecture"", ""Apache Kafka components"", ""Apache Kafka clusters"", ""Apache Kafka performance tuning"", ""Apache Kafka advanced operations""]","[""Data Engineering"", ""Big Data"", ""Distributed Systems""]",Technical,"[""Data Engineer"", ""Big Data Engineer"", ""Distributed Systems Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of Apache Kafka,"[""Apache Kafka"", ""Big Data"", ""Distributed Systems"", ""Data Engineering"", ""Multi-choice test""]"
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",K,Yes,No,6.0,"[""Pig architecture"", ""Pig built-in operators"", ""Pig built-in functions"", ""Pig commands in PigLatin""]","[""Data Engineering"", ""Big Data"", ""Data Processing""]",Technical,"[""Data Engineer"", ""Big Data Engineer"", ""Data Processing Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of Pig,"[""Apache Pig"", ""Big Data"", ""Data Processing"", ""Data Engineering"", ""PigLatin""]"
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",K,Yes,No,8.0,"[""Apache Spark principles"", ""RDD operations - actions and transformations"", ""lineage graphs"", ""lazy evaluation""]","[""Data Engineering"", ""Big Data"", ""Machine Learning""]",Technical,"[""Data Engineer"", ""Big Data Engineer"", ""Machine Learning Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Knowledge of Apache Spark,"[""Apache Spark"", ""Big Data"", ""Machine Learning"", ""Data Engineering"", ""RDD""]"
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",K,Yes,No,13.0,"["".NET framework"", ""C# fundamentals"", ""OOPs concepts"", ""Data access components"", ""State management"", ""Security services"", ""Multi-choice test"", ""ASP.NET environment"", ""Programming"", ""C#""]","[""Software Development"", ""Programming Languages"", ""Web Development"", ""Database Management"", ""Security""]",Technical,"[""Software Developer"", ""Web Developer"", ""Programmer""]","[""Junior"", ""Mid-level""]",Knowledge of .NET framework and C#,"[""ASP.NET"", ""C#"", "".NET"", ""Multi-choice"", ""Test""]"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",K,Yes,Yes,30.0,"["".NET Framework"", ""Client-Side Programming"", ""Data Access"", ""Enhanced Runtime Features"", ""Portals"", ""Services and Mobile"", ""Security"", ""Troubleshooting and Optimization"", ""Web Applications"", ""Web Forms""]","[""Software Development"", ""Web Development"", ""Database Management"", ""Security""]",Technical,"[""Software Developer"", ""Web Developer"", ""Programmer""]","[""Mid-level"", ""Senior""]",Knowledge of ASP.NET 4.5,"[""ASP.NET"", "".NET"", ""Programming"", ""Web Development"", ""Security""]"
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises. Exercises are available across a wide range of job levels and industry contexts. Contact SHL to find out more.",E,Yes,No,,[],[],Behavioral,[],[],,[]
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No,20.0,"[""debugging"", ""C"", ""C++"", ""Java""]","[""Programming"", ""Software Development""]",Technical,"[""Software Engineer"", ""Developer""]","[""Junior"", ""Mid-level""]",Debugging and coding skills,"[""Automata"", ""Debugging"", ""C"", ""C++"", ""Java"", ""Compiler"", ""Integrated Test""]"
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",S,Yes,No,30.0,"[""SQL"", ""DDL"", ""DML"", ""DCL""]","[""Database Management"", ""Data Analysis""]",Technical,"[""Database Administrator"", ""Data Analyst""]","[""Junior"", ""Mid-level""]",SQL query writing skills,"[""Automata"", ""SQL"", ""DDL"", ""DML"", ""DCL"", ""Query Writing""]"
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No,45.0,"[""programming"", ""coding""]","[""Programming"", ""Software Development""]",Technical,"[""Software Engineer"", ""Developer""]","[""Junior"", ""Mid-level""]",Programming and coding skills,"[""Automata"", ""Coding"", ""Programming"", ""IDE"", ""Simulation""]"
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,Yes,No,60.0,"[""Machine Learning"", ""Data Analysis"", ""Algorithm Design""]","[""Data Science"", ""Machine Learning"", ""Programming""]",Technical,"[""Data Scientist"", ""Data Analyst"", ""Machine Learning Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Analyzing and modifying data using machine learning algorithms,"[""Data Science"", ""Machine Learning"", ""Algorithm Design"", ""Data Analysis"", ""Programming""]"
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,Yes,No,60.0,"[""Machine Learning"", ""Data Analysis"", ""Algorithm Design""]","[""Data Science"", ""Machine Learning"", ""Programming""]",Technical,"[""Data Scientist"", ""Data Analyst"", ""Machine Learning Engineer""]","[""Junior"", ""Mid-level"", ""Senior""]",Analyzing and modifying data using machine learning algorithms,"[""Data Science"", ""Machine Learning"", ""Algorithm Design"", ""Data Analysis"", ""Programming""]"
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",S,Yes,No,30.0,"[""HTML"", ""CSS"", ""JavaScript""]","[""Front-end Development"", ""Web Development""]",Technical,"[""Front-end Developer"", ""Web Developer"", ""UI/UX Designer""]","[""Junior"", ""Mid-level"", ""Senior""]","Front-end development capabilities using HTML, CSS, and JavaScript","[""Front-end Development"", ""Web Development"", ""HTML"", ""CSS"", ""JavaScript""]"
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No,60.0,"[""Programming"", ""Coding"", ""IDE"", ""Real-world problems""]","[""Software Development"", ""Programming Languages""]",Technical,"[""Software Engineer"", ""Developer"", ""Programmer""]","[""Junior"", ""Mid-level"", ""Senior""]",Coding ability,"[""AI-powered"", ""Coding simulation"", ""Automated employment decision tools""]"
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,S,Yes,No,60.0,"[""Selenium scripts"", ""Automation testing""]","[""Software Development"", ""Testing""]",Technical,"[""Software Engineer"", ""QA Engineer"", ""Automation Tester""]","[""Junior"", ""Mid-level""]",Automation testing,"[""Selenium"", ""Automation testing"", ""Coding simulation""]"
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",K,Yes,No,8.0,"[""Automation Anywhere dashboard"", ""Task editor"", ""Control room"", ""Key commands"", ""Bots""]","[""Software Development"", ""Automation""]",Technical,"[""Automation Developer"", ""RPA Developer"", ""Software Engineer""]","[""Junior"", ""Mid-level""]",Automation Anywhere knowledge,"[""Automation Anywhere"", ""RPA Development"", ""Multi-choice test""]"
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",K,Yes,No,13.0,"[""auto engine classification"", ""engine fuel system"", ""auto-vehicle technology"", ""maintenance"", ""inspection"", ""troubleshooting""]","[""Engineering"", ""Automotive""]",Technical,"[""Automotive Engineer""]","[""Junior"", ""Senior""]",Knowledge,"[""Automotive"", ""Engineering"", ""Multi-choice"", ""Test""]"
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Multi choice test that measures the candidate's basic understanding of Biology.,K,Yes,No,6.0,"[""Biology basics""]","[""Biology""]",Cognitive,[],[],Understanding,"[""Biology"", ""Basic"", ""Understanding""]"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","S, K",Yes,No,30.0,"[""General computer terminology"", ""Processes"", ""Applications"", ""File management"", ""Operating System"", ""Computer parts""]","[""Computer Science"", ""IT""]",Technical,"[""Computer Literacy Specialist""]","[""Junior""]",Knowledge,"[""Computer"", ""Literacy"", ""Windows 10"", ""Simulation""]"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",K,Yes,No,10.0,"[""Statistics"", ""Probability"", ""Statistical Testing""]","[""Mathematics"", ""Data Analysis""]",Technical,"[""Data Analyst"", ""Data Scientist""]","[""Junior"", ""Mid-level""]",Knowledge of statistical methods,"[""Statistics"", ""Data Analysis"", ""Probability"", ""Statistical Testing"", ""Data Science""]"
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",K,Yes,No,8.0,"[""Biochemistry"", ""Bioenergetics"", ""Metabolism""]","[""Biology"", ""Chemistry""]",Technical,"[""Research Scientist"", ""Lab Technician""]","[""Mid-level"", ""Senior""]",Knowledge of bio-molecules and concepts,"[""Biochemistry"", ""Bioenergetics"", ""Metabolism"", ""Biology"", ""Chemistry""]"
